seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,n_training_trials,final_heldout_nmse,final_heldout_raw_mse,learning_curve_auc,final_weight_change_fro,final_spectral_radius,final_d_pr,final_d90
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,60,0.518943532474646,0.010378870649492921,0.8094169710491891,16.62670539762946,2.186204672125432,4.367644487740178,12
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,60,0.5607645631156212,0.011215291262312424,0.8451336121880657,16.36239654215207,1.9676092268232381,3.2504163087637914,12
0,0.2,39.800000000000004,39.795,28,55,7959,1974,1.590233670152282,60,0.5813730719452774,0.01162746143890555,0.6535307368826841,17.217471928471785,1.9546279629416392,4.075171610695344,14
0,0.4,79.60000000000001,78.5,62,99,15700,1974,1.5151767461185597,60,0.6211337506556832,0.012422675013113664,0.7245381897302895,17.123322150886153,2.081880212145703,5.530000783242526,16
1,0.05,9.950000000000001,10.085,3,18,2017,2017,1.5728289312089956,60,0.3536939466990204,0.007073878933980408,0.6903301825086273,16.624552876542573,2.0151538489542427,3.518733063687124,10
1,0.1,19.900000000000002,19.93,9,32,3986,2017,1.603557616202743,60,0.6220204317879606,0.012440408635759214,0.7845930770639601,17.718071150865896,2.120209949116043,3.4643009108884506,14
1,0.2,39.800000000000004,39.615,25,56,7923,2017,1.5317698468983538,60,0.3008583800428165,0.006017167600856331,0.5315589982253589,16.548755369159302,2.1637558118250273,3.0320141788246526,7
1,0.4,79.60000000000001,79.945,59,97,15989,2017,1.6359988786176212,60,0.2535010831156194,0.005070021662312389,0.5358865797546332,16.661944283110657,2.0730555822226906,3.3704219930838,9
2,0.05,9.950000000000001,9.695,2,19,1939,1939,1.552957722585292,60,0.3954463497635383,0.007908926995270767,0.48484814535951976,15.844207375103098,1.949213563660998,2.4000093696636777,5
2,0.1,19.900000000000002,20.31,8,36,4062,1939,1.649175521130528,60,0.3116618799076295,0.006233237598152591,0.46267465167085636,16.464722585591872,2.0577334382211605,2.786692779281633,8
2,0.2,39.800000000000004,39.93,26,57,7986,1939,1.5977169053837605,60,0.7167544644571511,0.014335089289143023,0.8187388581561539,15.515047283720643,1.9985409325218888,3.5429376867092657,10
