seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,n_training_trials,final_heldout_nmse,final_heldout_raw_mse,learning_curve_auc,final_weight_change_fro,final_spectral_radius,final_d_pr,final_d90
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,60,0.518943532474646,0.010378870649492921,0.8094169710491891,16.62670539762946,2.186204672125432,4.367644487740178,12
0,0.1,19.900000000000002,20.28,10,31,4056,4056,1.5261308668644207,60,0.43494157928110316,0.008698831585622064,0.8184980164734709,19.146907698854818,1.9594712883730805,3.808142608962494,13
0,0.2,39.800000000000004,39.795,28,55,7959,7959,1.590233670152282,60,0.3319298251595531,0.006638596503191063,0.4364808870145886,15.066721441628092,1.8814081960251816,2.5384982150289535,4
0,0.4,79.60000000000001,78.5,62,99,15700,15700,1.5151767461185597,60,0.21425902222103302,0.004285180444420661,0.4546224876640206,19.258152456947794,2.3347221468182147,2.726206309729488,4
1,0.05,9.950000000000001,10.085,3,18,2017,2017,1.5728289312089956,60,0.3536939466990204,0.007073878933980408,0.6903301825086273,16.624552876542573,2.0151538489542427,3.518733063687124,10
1,0.1,19.900000000000002,19.93,9,32,3986,3986,1.603557616202743,60,0.20269961614950543,0.00405399232299011,0.5754583038934342,19.119461074016428,2.015229169616951,3.2742935701399407,9
1,0.2,39.800000000000004,39.615,25,56,7923,7923,1.5317698468983538,60,0.18469995367359368,0.003693999073471874,0.3543095698900457,14.09833150860112,2.07158273097355,2.589998760176204,3
1,0.4,79.60000000000001,79.945,59,97,15989,15989,1.6359988786176212,60,0.013741627414775012,0.0002748325482955003,0.24871449606987447,13.753684224992435,1.9223949390702917,2.512716405169524,3
2,0.05,9.950000000000001,9.695,2,19,1939,1939,1.552957722585292,60,0.3954463497635383,0.007908926995270767,0.48484814535951976,15.844207375103098,1.949213563660998,2.4000093696636777,5
2,0.1,19.900000000000002,20.31,8,36,4062,4062,1.649175521130528,60,0.22209201058122788,0.004441840211624558,0.47125248200157815,16.319192455332907,2.07134940083231,2.999454086488871,7
2,0.2,39.800000000000004,39.93,26,57,7986,7986,1.5977169053837605,60,0.10158357719947078,0.0020316715439894157,0.277656388445112,13.232871109766073,1.9227393243047635,2.6478346462610363,3
2,0.4,79.60000000000001,79.745,62,103,15949,15949,1.5818073183062324,60,0.06247649040891783,0.0012495298081783568,0.34288290474835753,12.83222284821031,1.9265699126795597,2.56496566370877,3
3,0.05,9.950000000000001,10.375,3,17,2075,2075,1.605190234982719,60,0.4598121784251765,0.00919624356850353,0.7036535289946627,15.880999806054884,2.129997235045362,3.7465277063573432,13
3,0.1,19.900000000000002,20.3,8,30,4060,4060,1.5210844010366606,60,0.46281006584739,0.0092562013169478,0.6492466649601748,17.509945137120106,2.0784705788222375,3.0591565113853867,9
3,0.2,39.800000000000004,39.87,24,55,7974,7974,1.5386710773925614,60,0.3742239297044821,0.007484478594089643,0.559300004272354,15.3446783414293,1.9673026471018564,2.7032841522160336,5
3,0.4,79.60000000000001,79.135,60,97,15827,15827,1.620138763983731,60,0.2386375090809556,0.004772750181619112,0.40119489932654,15.91022475064226,2.142667348077501,2.585424249410078,3
4,0.05,9.950000000000001,9.82,4,19,1964,1964,1.5874030774091887,60,0.3200346328762833,0.006400692657525667,0.4609284416423651,16.417070070934777,1.9843991775691576,3.0664736686364784,8
4,0.1,19.900000000000002,19.945,10,33,3989,3989,1.5407984626142002,60,0.28348922663005527,0.005669784532601106,0.4434766457810519,15.822239431000913,1.8448939856613649,2.718171856238733,7
4,0.2,39.800000000000004,39.95,26,58,7990,7990,1.5413045604875095,60,0.14477960918897104,0.002895592183779421,0.41570768353128035,17.017415320421247,2.0232530881803124,2.670391194122799,5
